method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.01999999999999999,0.0006715562608506945,0.002686225043402778,0.14013426005840302,3961,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03,0.002069091796875,0.00826755099826389,0.16474489076063037,12204,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03,0.0020399305555555557,0.008157687717013888,0.15644639637321234,12032,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03999999999999998,0.005755784776475694,0.022993977864583334,0.18961587315425277,33949,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03999999999999998,0.005605061848958333,0.02239379882812501,0.1769277867861092,33060,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.04999999999999999,0.013426378038194445,0.05355224609374999,0.21732765948399901,79192,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.04999999999999999,0.01277957492404514,0.051007080078124996,0.2003516941331327,75377,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.06,0.026231553819444444,0.10432807074652779,0.24687655782327056,154720,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.06,0.024111260308159722,0.09593031141493055,0.2256147339940071,142214,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.07,0.043732706705729166,0.173095703125,0.277974272146821,257946,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.07,0.03837025960286458,0.15187174479166668,0.25221770256757736,226317,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08000000000000002,0.06409556070963542,0.2520894368489584,0.3093626145273447,378051,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08000000000000002,0.05357479519314236,0.20999620225694446,0.27961709536612034,315997,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08999999999999997,0.08602210150824653,0.3349494086371528,0.34179068356752396,507379,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.08999999999999997,0.06898040771484375,0.2663567437065972,0.3079319326207042,406863,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.09999999999999998,0.10738762749565972,0.41359998914930557,0.3738754130899906,633398,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.09999999999999998,0.08335927327473959,0.31572943793402775,0.3363054506480694,491673,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.10999999999999999,0.12783983018663195,0.4856845431857639,0.40670495573431253,754030,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.10999999999999999,0.09706437852647569,0.35946451822916664,0.365251237526536,572509,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.12,0.14676666259765625,0.5491929796006944,0.43950529396533966,865665,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.12,0.11013946533203126,0.39836629231770837,0.3942924067378044,649629,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.13,0.16405775282118057,0.6042751736111112,0.4722328446805477,967652,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.13,0.12257537841796876,0.4330641004774305,0.4233696013689041,722979,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.14,0.1800509982638889,0.6511067708333335,0.5047027692198753,1061984,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.14,0.13502621120876737,0.46445041232638895,0.45237785018980503,796417,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15000000000000002,0.19491712782118056,0.6900994194878471,0.5368947982788086,1149668,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15000000000000002,0.14745313856336806,0.49340277777777775,0.4812304060906172,869714,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15999999999999998,0.20933142768012153,0.7237854003906251,0.5691252313554287,1234687,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.15999999999999998,0.16017981635199652,0.5203335232204863,0.5100577473640442,944779,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.16999999999999998,0.22380608452690973,0.7536783854166665,0.6014101058244705,1320062,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.16999999999999998,0.17290971544053818,0.5454969618055556,0.5389783047139645,1019863,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.18,0.23782212999131944,0.777859836154514,0.6334845386445522,1402732,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.18,0.18500993516710068,0.5685418023003472,0.5675288829952478,1091233,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.19,0.2517213609483507,0.7986341688368058,0.6646146886050701,1484713,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.19,0.19688296847873263,0.5901638454861112,0.5959311854094267,1161263,5898240,,,,,Learned Basis
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.2,0.2657418145073785,0.8171074761284725,0.6959129795432091,1567409,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.2,0.20871259901258682,0.6102735731336806,0.6244330946356058,1231037,5898240,,,,,Learned Basis
