method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.08999999999999997,0.024854732677340508,0.01583908498287201,0.009015647694468498,0.9867324233055115,8.660354211542654e-08,0.9867322444915771,0.9867326021194458,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.09999999999999998,0.030623193830251694,0.01955009251832962,0.011073101311922073,0.9836355447769165,9.361282593545184e-08,0.9836354851722717,0.9836357235908508,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.10999999999999999,0.03697173669934273,0.02364962361752987,0.013322113081812859,0.9802197813987732,2.2177769665177038e-07,0.9802194237709045,0.980219841003418,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.12,0.043892357498407364,0.028136909008026123,0.01575544849038124,0.9764863848686218,8.335183565577609e-08,0.9764862060546875,0.9764864444732666,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.13,0.05137600749731064,0.0330110639333725,0.01836494356393814,0.9724381566047668,6.468621904787142e-08,0.9724379777908325,0.9724382162094116,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.14,0.05941300839185715,0.03827105462551117,0.021141953766345978,0.9680774211883545,1.3357588102280715e-07,0.9680771827697754,0.9680774211883545,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.15000000000000002,0.06799311935901642,0.043915703892707825,0.024077415466308594,0.9634064435958862,9.528461220043027e-08,0.9634063243865967,0.9634066820144653,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.15999999999999998,0.0771053358912468,0.049943599849939346,0.02716173604130745,0.9584282636642456,1.0400019334610988e-07,0.9584282040596008,0.9584285020828247,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.16999999999999998,0.08673767745494843,0.056353211402893066,0.03038446605205536,0.9531456232070923,2.3221176093102258e-07,0.9531455636024475,0.9531459808349609,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.18,0.0968775823712349,0.06314271688461304,0.03373486548662186,0.9475622177124023,1.0588099286223951e-07,0.9475619792938232,0.9475622773170471,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.19,0.10751166194677353,0.07031012326478958,0.03720153868198395,0.9416805505752563,9.2765624515323e-08,0.941680371761322,0.9416806101799011,2.7579010256073566e-11,45.0
OFDM,Classical OFDM,16QAM,45,64,50,5,15.0,12.0,0.2,0.11862611770629883,0.07785318791866302,0.0407729297876358,0.9355043768882751,8.973749032747946e-08,0.9355041980743408,0.9355044364929199,2.7579010256073566e-11,45.0
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.2,0.004451325163245201,0.0006411406211555004,0.0038101845420897007,0.9727158546447754,0.010820062831044197,0.941754162311554,0.9851470589637756,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.19,0.0040413266979157925,0.0005713233258575201,0.0034700033720582724,0.9733256101608276,0.009927015751600266,0.9454003572463989,0.9853218197822571,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.18000000000000002,0.003654802916571498,0.0005065641016699374,0.0031482388731092215,0.9739092588424683,0.009083675220608711,0.9489139318466187,0.9854892492294312,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.17,0.003291674656793475,0.0004466594837140292,0.0028450151439756155,0.9744665622711182,0.008292898535728455,0.9522861838340759,0.9856491684913635,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.16,0.0029514185152947903,0.00039141144952736795,0.0025600071530789137,0.9749962091445923,0.007557659409940243,0.9555093050003052,0.9858015179634094,0.000816029089037329,43.320770263671875
Learned,Learned Basis,16QAM,45,64,50,5,15.0,12.0,-0.15000000000000002,0.002633780473843217,0.0003406281175557524,0.002293152268975973,0.975497841835022,0.0068811774253845215,0.9585756063461304,0.9859460592269897,0.000816029089037329,43.320770263671875
