method,method_label,modulation,N,M,K,R,train_ebn0_db,eval_ebn0_db,eps,offdiag_leakage,nearest_neighbor_leakage,residual_far_leakage,diag_mean_magnitude,diag_std_magnitude,diag_min_magnitude,diag_max_magnitude,clean_identity_loss,receiver_fro_norm_sq
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.03,0.0004594970087055117,4.9909900553757325e-05,0.00040958711178973317,0.978986918926239,0.003621208481490612,0.9711580276489258,0.9845084547996521,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.03999999999999998,0.0005336488247849047,8.088297181529924e-05,0.00045276584569364786,0.9788581728935242,0.0036762834060937166,0.9706577062606812,0.9843692183494568,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.04999999999999999,0.0006300228997133672,0.00012110400712117553,0.0005089188925921917,0.9786920547485352,0.003762227715924382,0.9700195789337158,0.984297513961792,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.06,0.0007490121643058956,0.00017059178208000958,0.0005784203531220555,0.9784887433052063,0.00388898653909564,0.9692444205284119,0.9842548370361328,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.07,0.000890292867552489,0.00022936951427254826,0.000660923367831856,0.9782489538192749,0.004066522233188152,0.96833336353302,0.9842047691345215,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.08000000000000002,0.0010542714735493064,0.00029746253858320415,0.0007568089058622718,0.9779725670814514,0.004303863272070885,0.967287540435791,0.9841475486755371,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.08999999999999997,0.001240817946381867,0.00037489854730665684,0.0008659193990752101,0.9776602387428284,0.004607998766005039,0.9661083221435547,0.9840832352638245,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.09999999999999998,0.0014503513230010867,0.0004617077065631747,0.000988643616437912,0.9773125052452087,0.004983365535736084,0.9647971391677856,0.984011709690094,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.10999999999999999,0.0016828435473144054,0.0005579227581620216,0.0011249207891523838,0.9769294857978821,0.00543193519115448,0.9633557200431824,0.9839338660240173,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.12,0.0019382723839953542,0.0006635769968852401,0.001274695387110114,0.9765123128890991,0.005953396204859018,0.9617857933044434,0.9838483333587646,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.13,0.0022170725278556347,0.0007787058711983263,0.0014383667148649693,0.9760612845420837,0.006546135060489178,0.9600896835327148,0.9837565422058105,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.14,0.0025191407185047865,0.0009033460519276559,0.0016157946083694696,0.9755769371986389,0.007207611110061407,0.9577054381370544,0.9836581349372864,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.15000000000000002,0.002844920614734292,0.0010375349083915353,0.0018073857063427567,0.975060224533081,0.00793472584336996,0.954310953617096,0.9835533499717712,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.15999999999999998,0.0031944976653903723,0.0011813068995252252,0.0020131906494498253,0.9745117425918579,0.008724245242774487,0.950728714466095,0.9834414720535278,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.16999999999999998,0.003567868610844016,0.0013346982887014747,0.0022331704385578632,0.9739324450492859,0.009572898969054222,0.946968138217926,0.9833241105079651,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.18,0.00396530469879508,0.0014977460959926248,0.0024675587192177773,0.9733232855796814,0.010477636940777302,0.9430400133132935,0.9832004308700562,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.19,0.004387080203741789,0.0016704801237210631,0.002716599963605404,0.9726846814155579,0.011435410007834435,0.9389552474021912,0.9830707907676697,0.0008220357703976333,42.370025634765625
Learned,Learned Basis,16QAM,44,64,50,6,15.0,12.0,0.2,0.00483319628983736,0.0018529342487454414,0.002980262041091919,0.9720182418823242,0.01244319323450327,0.9347255229949951,0.9829356074333191,0.0008220357703976333,42.370025634765625
