method,method_label,papr_db
OFDM,Classical OFDM,7.472103
OFDM,Classical OFDM,6.8845396
OFDM,Classical OFDM,7.136363
OFDM,Classical OFDM,4.8581758
OFDM,Classical OFDM,7.117466
OFDM,Classical OFDM,6.2098875
OFDM,Classical OFDM,9.103642
OFDM,Classical OFDM,7.2031326
OFDM,Classical OFDM,4.7178836
OFDM,Classical OFDM,6.648409
OFDM,Classical OFDM,5.974556
OFDM,Classical OFDM,7.3801093
OFDM,Classical OFDM,6.9461255
OFDM,Classical OFDM,6.5572386
OFDM,Classical OFDM,7.2764406
OFDM,Classical OFDM,6.189994
OFDM,Classical OFDM,6.534512
OFDM,Classical OFDM,5.5294914
OFDM,Classical OFDM,5.7478323
OFDM,Classical OFDM,6.0203214
OFDM,Classical OFDM,6.6584177
OFDM,Classical OFDM,8.3460455
OFDM,Classical OFDM,6.3692718
OFDM,Classical OFDM,6.1380396
OFDM,Classical OFDM,5.7756414
OFDM,Classical OFDM,9.076536
OFDM,Classical OFDM,4.827464
OFDM,Classical OFDM,4.5584826
OFDM,Classical OFDM,7.5325484
OFDM,Classical OFDM,6.2711163
OFDM,Classical OFDM,6.086953
OFDM,Classical OFDM,6.5586686
OFDM,Classical OFDM,5.56318
OFDM,Classical OFDM,7.104295
OFDM,Classical OFDM,7.724126
OFDM,Classical OFDM,5.5940332
OFDM,Classical OFDM,7.751935
OFDM,Classical OFDM,5.947664
OFDM,Classical OFDM,6.2079487
OFDM,Classical OFDM,8.2251625
OFDM,Classical OFDM,7.7312546
OFDM,Classical OFDM,5.9216824
OFDM,Classical OFDM,5.5837574
OFDM,Classical OFDM,6.573311
OFDM,Classical OFDM,6.340681
OFDM,Classical OFDM,6.5907917
OFDM,Classical OFDM,5.9550056
OFDM,Classical OFDM,7.7635355
OFDM,Classical OFDM,5.3124995
OFDM,Classical OFDM,5.416173
OFDM,Classical OFDM,5.677847
OFDM,Classical OFDM,5.5176835
OFDM,Classical OFDM,7.361868
OFDM,Classical OFDM,8.424847
OFDM,Classical OFDM,6.2342405
OFDM,Classical OFDM,6.775936
OFDM,Classical OFDM,5.0244436
OFDM,Classical OFDM,6.5448422
OFDM,Classical OFDM,6.8728504
OFDM,Classical OFDM,7.655922
OFDM,Classical OFDM,6.5084734
OFDM,Classical OFDM,7.2017484
OFDM,Classical OFDM,5.763726
OFDM,Classical OFDM,7.220344
OFDM,Classical OFDM,7.169931
OFDM,Classical OFDM,6.2692623
OFDM,Classical OFDM,4.7359796
OFDM,Classical OFDM,7.3686023
