method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.0,0.0001314336603338068,0.0005257346413352271,0.12553614214994013,758,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.0,0.00017668984153053978,0.000706759366122159,0.12647592276334763,1019,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.009999999999999981,0.00023339011452414772,0.000933560458096591,0.13050398137420416,1346,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.009999999999999981,0.00024535439231178975,0.000981417569247159,0.12938316306099296,1415,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.01999999999999999,0.0006597692316228694,0.0026383833451704536,0.14432599721476436,3805,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.01999999999999999,0.000629945234818892,0.0025197809392755685,0.1392754395492375,3633,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.03,0.002051266756924716,0.008202292702414772,0.1646481640636921,11830,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.03,0.001804871992631392,0.007216020063920453,0.15470250276848674,10409,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.03999999999999998,0.0057811737060546875,0.0230955644087358,0.18968987883999944,33341,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.03999999999999998,0.0049228668212890625,0.019668579101562497,0.17434188490733504,28391,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.04999999999999999,0.013420451771129261,0.05353268710049717,0.2173245307058096,77398,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.04999999999999999,0.011561653830788353,0.046153675426136374,0.1971582705155015,66678,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.06,0.026152524081143467,0.10406077991832388,0.24687540717422962,150826,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.06,0.02210391651500355,0.08802864768288353,0.22168099787086248,127477,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.07,0.04371469671075994,0.17301732843572445,0.2779135024175048,252110,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.07,0.03579417142001065,0.1419254649769176,0.24757855525240302,206431,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.08000000000000002,0.06420551646839488,0.2524774724786932,0.30943709053099155,370284,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.08000000000000002,0.0508880615234375,0.20007462935014209,0.2743519367650151,293480,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.08999999999999997,0.08601604808460582,0.3349671797318891,0.34150467347353697,496069,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.08999999999999997,0.06601316278631036,0.2561444369229403,0.30195222329348326,380709,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.09999999999999998,0.1072266318581321,0.41292988170276984,0.3736943257972598,618394,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.09999999999999998,0.08006303960626776,0.3051057295365767,0.3296106122434139,461737,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.10999999999999999,0.12797130237926135,0.4862331043590199,0.40671670995652676,738032,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.10999999999999999,0.0935625596479936,0.3488811146129262,0.35782799031585455,539591,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.12,0.14692185141823508,0.549893465909091,0.4395922524854541,847323,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.12,0.10661402615633878,0.3883146806196732,0.38630949705839157,614861,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.13,0.16408937627618964,0.6042639992453835,0.47186887729912996,946331,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.13,0.11900815096768466,0.423186562278054,0.4147906331345439,686340,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.14,0.17979327115145596,0.6500237204811792,0.5043321792036295,1036898,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.14,0.13094572587446732,0.45468417080965906,0.4435272505506873,755186,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.15000000000000002,0.1948594180020419,0.6899587457830257,0.5365933552384377,1123787,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.15000000000000002,0.1430605108087713,0.4835149591619318,0.471723192371428,825054,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.15999999999999998,0.20946242592551492,0.7245081121271308,0.5694020260125399,1208005,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.15999999999999998,0.15539377385919745,0.510069413618608,0.5000140657648444,896182,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.16999999999999998,0.22352860190651633,0.7527285489169036,0.6010390128940344,1289127,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.16999999999999998,0.1683224764737216,0.5359836925159802,0.5284317433834076,970744,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.18,0.2378356240012429,0.7778424349698152,0.6333826705813408,1371638,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.18,0.18031761863014914,0.5590098987926136,0.5568044763058424,1039922,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.19,0.25164031982421875,0.7987233942205256,0.6646376308053732,1451252,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.19,0.19203758239746094,0.5807307850230825,0.5845890324562788,1107513,5767168,,,,,Learned Basis
OFDM,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.2,0.2654547257856889,0.8163868297230114,0.6953141391277313,1530922,5767168,,,,,Classical OFDM
Learned,16QAM,44,64,50,6,44,4,10,0.78125,0.6875,15.0,12.0,0.2,0.2035964619029652,0.6008800159801136,0.6122400779277086,1174175,5767168,,,,,Learned Basis
