method,method_label,papr_db
OFDM,Classical OFDM,6.752816
OFDM,Classical OFDM,5.339777
OFDM,Classical OFDM,6.316001
OFDM,Classical OFDM,7.1146064
OFDM,Classical OFDM,6.794085
OFDM,Classical OFDM,7.6217012
OFDM,Classical OFDM,7.093417
OFDM,Classical OFDM,6.451517
OFDM,Classical OFDM,6.4799433
OFDM,Classical OFDM,6.0378413
OFDM,Classical OFDM,6.364558
OFDM,Classical OFDM,7.3387785
OFDM,Classical OFDM,8.837772
OFDM,Classical OFDM,7.832914
OFDM,Classical OFDM,7.349571
OFDM,Classical OFDM,6.55158
OFDM,Classical OFDM,6.021722
OFDM,Classical OFDM,6.7656684
OFDM,Classical OFDM,5.6551323
OFDM,Classical OFDM,6.4155807
OFDM,Classical OFDM,6.775269
OFDM,Classical OFDM,6.4775095
OFDM,Classical OFDM,7.2875257
OFDM,Classical OFDM,6.4681153
OFDM,Classical OFDM,5.34487
OFDM,Classical OFDM,6.000769
OFDM,Classical OFDM,4.4200544
OFDM,Classical OFDM,6.1558867
OFDM,Classical OFDM,6.672943
OFDM,Classical OFDM,7.1146364
OFDM,Classical OFDM,6.274841
OFDM,Classical OFDM,6.311565
OFDM,Classical OFDM,6.877895
OFDM,Classical OFDM,6.5427394
OFDM,Classical OFDM,6.2692738
OFDM,Classical OFDM,7.775223
OFDM,Classical OFDM,8.611862
OFDM,Classical OFDM,7.7163367
OFDM,Classical OFDM,6.0131035
OFDM,Classical OFDM,9.436351
OFDM,Classical OFDM,5.5950108
OFDM,Classical OFDM,5.653736
OFDM,Classical OFDM,6.959768
OFDM,Classical OFDM,8.148036
OFDM,Classical OFDM,5.17366
OFDM,Classical OFDM,5.2819805
OFDM,Classical OFDM,6.121748
OFDM,Classical OFDM,6.1975374
OFDM,Classical OFDM,8.613779
OFDM,Classical OFDM,6.875343
OFDM,Classical OFDM,5.8891063
OFDM,Classical OFDM,7.4015703
OFDM,Classical OFDM,6.0418444
OFDM,Classical OFDM,5.1997375
OFDM,Classical OFDM,9.16406
OFDM,Classical OFDM,6.4991946
OFDM,Classical OFDM,6.009969
OFDM,Classical OFDM,7.560887
OFDM,Classical OFDM,6.1697617
OFDM,Classical OFDM,9.026868
OFDM,Classical OFDM,5.94891
OFDM,Classical OFDM,6.5159326
OFDM,Classical OFDM,6.5164094
OFDM,Classical OFDM,5.0566263
OFDM,Classical OFDM,6.1760416
OFDM,Classical OFDM,7.2370644
OFDM,Classical OFDM,5.3825884
OFDM,Classical OFDM,6.269238
OFDM,Classical OFDM,5.9130945
OFDM,Classical OFDM,6.787596
OFDM,Classical OFDM,6.8858557
OFDM,Classical OFDM,6.879068
OFDM,Classical OFDM,5.55407
OFDM,Classical OFDM,7.173872
OFDM,Classical OFDM,6.7482185
OFDM,Classical OFDM,8.011902
OFDM,Classical OFDM,7.856212
OFDM,Classical OFDM,6.8916698
OFDM,Classical OFDM,5.8373666
OFDM,Classical OFDM,6.3082533
OFDM,Classical OFDM,5.6083784
OFDM,Classical OFDM,6.385966
OFDM,Classical OFDM,5.416963
OFDM,Classical OFDM,6.372308
OFDM,Classical OFDM,5.7144146
OFDM,Classical OFDM,4.996456
OFDM,Classical OFDM,7.35565
OFDM,Classical OFDM,7.396428
OFDM,Classical OFDM,6.7267394
OFDM,Classical OFDM,6.170216
OFDM,Classical OFDM,6.2064786
OFDM,Classical OFDM,5.1787224
OFDM,Classical OFDM,5.4598513
OFDM,Classical OFDM,7.8108015
OFDM,Classical OFDM,8.412331
OFDM,Classical OFDM,5.617969
OFDM,Classical OFDM,6.143733
OFDM,Classical OFDM,7.978677
OFDM,Classical OFDM,8.035442
OFDM,Classical OFDM,7.6157236
OFDM,Classical OFDM,5.9775686
OFDM,Classical OFDM,7.283023
