method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label,snr_sweep_cfo,snr_sweep_ebn0_db
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,4.0,0.05,0.0861545138888889,0.3218431260850695,0.36529424507170916,508160,5898240,,,,,Learned + Nonlinear RX,0.05,4.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.05,0.05729624430338542,0.22052408854166666,0.30701760109514,337947,5898240,,,,,Classical OFDM,0.05,6.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.05,0.05979156494140625,0.2300198025173611,0.3107242714613676,352665,5898240,,,,,Learned Basis,0.05,6.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,6.0,0.05,0.059586418999565974,0.2293911404079861,0.3107580514624715,351455,5898240,,,,,Learned + Nonlinear RX,0.05,6.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.05,0.03685370551215278,0.144659423828125,0.26670741476118565,217372,5898240,,,,,Classical OFDM,0.05,8.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.05,0.04093170166015625,0.16039767795138887,0.2713394621387124,241425,5898240,,,,,Learned Basis,0.05,8.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,8.0,0.05,0.040759107801649305,0.15985446506076387,0.27106489334255457,240407,5898240,,,,,Learned + Nonlinear RX,0.05,8.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.05,0.02267829047309028,0.08999837239583335,0.23776326514780521,133762,5898240,,,,,Classical OFDM,0.05,10.0
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.05,0.028683980305989582,0.11361829969618056,0.24316571047529578,169185,5898240,,,,,Learned Basis,0.05,10.0
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,10.0,0.05,0.028350660536024305,0.11238064236111113,0.24263934744521976,167219,5898240,,,,,Learned + Nonlinear RX,0.05,10.0
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.05,0.013434516059027778,0.053592258029513895,0.21740106353536248,79240,5898240,,,,,Classical OFDM,0.05,12.0
