method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.05000000000000002,0.021037122938368055,0.08378024631076389,0.2237134575843811,124082,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.05000000000000002,0.02071109347873264,0.08255072699652777,0.22313159285113215,122159,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.04000000000000001,0.005723232693142361,0.022873263888888894,0.18966316571459174,33757,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.04000000000000001,0.00977901882595486,0.039048258463541666,0.19620564859360456,57679,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.04000000000000001,0.009728664822048611,0.03885498046874999,0.19541162438690662,57382,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.03,0.0020526462131076387,0.008204481336805555,0.1646983753889799,12107,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.03,0.0036982218424479168,0.014779324001736111,0.171604186296463,21813,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.03,0.003736199273003472,0.014934624565972221,0.17057030042633414,22037,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.020000000000000018,0.0006566365559895833,0.002625868055555555,0.14431267883628607,3873,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.020000000000000018,0.0012663099500868056,0.005062527126736111,0.15170074673369527,7469,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.020000000000000018,0.00133056640625,0.005319552951388889,0.1504286085255444,7848,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.010000000000000009,0.00022176106770833333,0.0008870442708333334,0.13045523315668106,1308,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.010000000000000009,0.0004737006293402778,0.0018941243489583337,0.13829099154099822,2794,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.010000000000000009,0.0005164252387152777,0.0020650227864583335,0.13683508057147264,3046,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00014326307508680556,0.0005730523003472222,0.12558964919298887,845,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00030924479166666665,0.0012369791666666664,0.13353362819179893,1824,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00033620198567708336,0.0013441297743055556,0.13196077570319176,1983,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.009999999999999981,0.00023040771484375,0.000921630859375,0.1304955706000328,1359,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.009999999999999981,0.00047743055555555554,0.0019090440538194443,0.13830197881907225,2816,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.009999999999999981,0.0005128648546006945,0.0020507812499999997,0.1367760319262743,3025,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.01999999999999999,0.0006549411349826389,0.0026190863715277782,0.1442704051733017,3863,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.01999999999999999,0.0012864854600694445,0.005143229166666667,0.15153858251869678,7588,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.01999999999999999,0.0013293796115451389,0.005315483940972222,0.1501633133739233,7841,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03,0.002069091796875,0.00826755099826389,0.16474489076063037,12204,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03,0.0037489149305555557,0.01498074001736111,0.1715188673697412,22112,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03,0.0037534925672743054,0.015004475911458336,0.1703693070448935,22139,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03999999999999998,0.005755784776475694,0.022993977864583334,0.18961587315425277,33949,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03999999999999998,0.009837680392795138,0.03926255967881945,0.19593159155920148,58025,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.03999999999999998,0.009713066948784722,0.03877970377604167,0.19499728037044406,57290,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.04999999999999999,0.013426378038194445,0.05355224609374999,0.21732765948399901,79192,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.04999999999999999,0.02108120388454861,0.08398234049479164,0.22348915180191398,124342,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.04999999999999999,0.02070431179470486,0.08251817491319445,0.22274358151480556,122119,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.06,0.026231553819444444,0.10432807074652779,0.24687655782327056,154720,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.06,0.03661346435546875,0.14521145290798612,0.252870574593544,215955,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.06,0.036185370551215276,0.14368421766493056,0.25229999236762524,213430,5898240,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.07,0.043732706705729166,0.173095703125,0.277974272146821,257946,5898240,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.07,0.05407731797960069,0.21265055338541664,0.2836970016360283,318961,5898240,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.07,0.05379180908203125,0.2120286729600695,0.2832894278690219,317277,5898240,,,,,Learned + Nonlinear RX
